jugador_x;jugador_y;bala1_x;bala1_y;bala2_x;bala2_y;salto;movimiento
48;300;750;310;84;52;0;derecha
46;300;747;310;40;2;0;derecha
44;300;744;310;40;4;0;derecha
42;300;741;310;40;6;0;derecha
40;300;738;310;40;8;0;derecha
38;300;735;310;40;10;0;derecha
36;300;732;310;40;12;0;derecha
34;300;729;310;40;14;0;derecha
32;300;726;310;40;16;0;derecha
30;300;696;310;40;36;0;quieto
30;300;666;310;40;56;0;quieto
30;300;636;310;40;76;0;quieto
30;300;606;310;40;96;0;quieto
30;300;576;310;40;116;0;quieto
30;300;546;310;40;136;0;quieto
30;300;516;310;40;156;0;quieto
30;300;486;310;40;176;0;quieto
30;300;456;310;40;196;0;quieto
30;300;426;310;40;216;0;quieto
70;300;411;310;40;226;0;derecha
90;300;408;310;40;228;0;derecha
110;300;405;310;40;230;0;derecha
130;300;402;310;40;232;0;derecha
130;300;399;310;40;234;0;derecha
130;300;396;310;40;236;0;derecha
130;300;393;310;40;238;0;derecha
130;300;390;310;40;240;0;derecha
130;300;387;310;40;242;0;derecha
130;300;384;310;40;244;0;derecha
128;300;381;310;40;246;0;derecha
126;300;378;310;40;248;0;derecha
124;300;375;310;40;250;0;derecha
122;300;372;310;40;252;0;derecha
120;300;369;310;40;254;0;derecha
118;300;366;310;40;256;0;derecha
116;300;363;310;40;258;0;derecha
114;300;360;310;40;260;0;derecha
112;300;357;310;40;262;0;derecha
110;300;354;310;40;264;0;derecha
108;300;351;310;40;266;0;derecha
106;300;348;310;40;268;0;derecha
104;300;345;310;40;270;0;derecha
102;300;342;310;40;272;0;derecha
100;300;339;310;40;274;0;derecha
98;300;336;310;40;276;0;derecha
96;300;333;310;40;278;0;derecha
94;300;330;310;40;280;0;derecha
92;300;327;310;40;282;0;derecha
90;300;324;310;40;284;0;derecha
88;300;321;310;40;286;0;derecha
86;300;318;310;40;288;0;derecha
104;300;315;310;40;290;0;derecha
122;300;312;310;40;292;0;derecha
120;300;309;310;40;294;0;derecha
118;300;306;310;40;296;0;derecha
116;300;303;310;40;298;0;derecha
114;300;300;310;40;300;0;derecha
112;300;297;310;40;302;0;derecha
110;300;294;310;40;304;0;derecha
108;300;291;310;40;306;0;derecha
106;300;288;310;40;308;0;derecha
104;300;285;310;40;310;0;derecha
102;300;282;310;40;312;0;derecha
100;300;279;310;40;314;0;derecha
98;300;276;310;40;316;0;derecha
96;300;273;310;40;318;0;derecha
94;300;270;310;40;320;0;derecha
92;300;267;310;40;322;0;derecha
90;300;264;310;40;324;0;derecha
88;300;261;310;40;326;0;derecha
86;300;258;310;40;328;0;derecha
84;300;255;310;40;330;0;derecha
82;300;252;310;40;332;0;derecha
80;300;249;310;40;334;0;derecha
78;300;246;310;40;336;0;derecha
76;300;243;310;40;338;0;derecha
74;300;240;310;40;340;0;derecha
72;300;237;310;40;342;0;derecha
70;300;234;310;40;344;0;derecha
68;300;231;310;40;346;0;derecha
66;300;228;310;40;348;0;derecha
64;300;225;310;40;350;0;derecha
62;300;222;310;40;352;0;derecha
60;300;219;310;40;354;0;derecha
58;300;216;310;40;356;0;derecha
56;300;213;310;40;358;0;derecha
54;300;210;310;40;360;0;derecha
52;300;207;310;40;362;0;derecha
50;300;204;310;40;364;0;derecha
48;300;201;310;40;366;0;derecha
46;300;198;310;40;368;0;derecha
44;300;195;310;40;370;0;derecha
42;300;192;310;40;372;0;derecha
40;300;189;310;40;374;0;derecha
38;300;186;310;40;376;0;derecha
36;300;183;310;40;378;0;derecha
34;300;180;310;40;380;0;derecha
32;300;177;310;40;382;0;derecha
30;300;147;310;50;0;0;quieto
30;300;117;310;40;20;0;quieto
30;300;87;310;40;40;0;quieto
30;208;57;310;40;60;1;quieto
30;183;27;310;40;80;1;quieto
30;258;750;310;40;100;1;quieto
30;300;720;310;40;120;0;quieto
30;300;690;310;40;140;0;quieto
30;300;660;310;40;160;0;quieto
70;300;654;310;40;164;0;derecha
90;300;651;310;40;166;0;derecha
110;300;648;310;40;168;0;derecha
130;300;645;310;40;170;0;derecha
130;300;642;310;40;172;0;derecha
130;300;639;310;40;174;0;derecha
130;300;636;310;40;176;0;derecha
130;300;633;310;40;178;0;derecha
130;300;630;310;40;180;0;derecha
130;300;627;310;40;182;0;derecha
128;300;624;310;40;184;0;derecha
126;300;621;310;40;186;0;derecha
124;300;618;310;40;188;0;derecha
122;300;615;310;40;190;0;derecha
120;300;612;310;40;192;0;derecha
118;300;609;310;40;194;0;derecha
116;300;606;310;40;196;0;derecha
114;300;603;310;40;198;0;derecha
112;300;600;310;40;200;0;derecha
110;300;597;310;40;202;0;derecha
108;300;594;310;40;204;0;derecha
126;300;591;310;40;206;0;derecha
124;300;588;310;40;208;0;derecha
122;300;585;310;40;210;0;derecha
120;300;582;310;40;212;0;derecha
138;300;579;310;40;214;0;derecha
136;300;576;310;40;216;0;derecha
134;300;573;310;40;218;0;derecha
132;300;570;310;40;220;0;derecha
130;300;567;310;40;222;0;derecha
128;300;564;310;40;224;0;derecha
126;300;561;310;40;226;0;derecha
124;300;558;310;40;228;0;derecha
122;300;555;310;40;230;0;derecha
120;300;552;310;40;232;0;derecha
118;300;549;310;40;234;0;derecha
116;300;546;310;40;236;0;derecha
114;300;543;310;40;238;0;derecha
112;300;540;310;40;240;0;derecha
110;300;537;310;40;242;0;derecha
108;300;534;310;40;244;0;derecha
126;300;531;310;40;246;0;derecha
124;300;528;310;40;248;0;derecha
122;300;525;310;40;250;0;derecha
120;300;522;310;40;252;0;derecha
138;300;519;310;40;254;0;derecha
136;300;516;310;40;256;0;derecha
134;300;513;310;40;258;0;derecha
132;300;510;310;40;260;0;derecha
130;300;507;310;40;262;0;derecha
128;300;504;310;40;264;0;derecha
126;300;501;310;40;266;0;derecha
124;300;498;310;40;268;0;derecha
122;300;495;310;40;270;0;derecha
120;300;492;310;40;272;0;derecha
118;300;489;310;40;274;0;derecha
116;300;486;310;40;276;0;derecha
114;300;483;310;40;278;0;derecha
112;300;480;310;40;280;0;derecha
110;300;477;310;40;282;0;derecha
108;300;474;310;40;284;0;derecha
126;300;471;310;40;286;0;derecha
124;300;468;310;40;288;0;derecha
122;300;465;310;40;290;0;derecha
120;300;462;310;40;292;0;derecha
138;300;459;310;40;294;0;derecha
136;300;456;310;40;296;0;derecha
134;300;453;310;40;298;0;derecha
132;300;450;310;40;300;0;derecha
130;300;447;310;40;302;0;derecha
128;300;444;310;40;304;0;derecha
126;300;441;310;40;306;0;derecha
124;300;438;310;40;308;0;derecha
122;300;435;310;40;310;0;derecha
120;300;432;310;40;312;0;derecha
138;300;429;310;40;314;0;derecha
136;300;426;310;40;316;0;derecha
134;300;423;310;40;318;0;derecha
132;300;420;310;40;320;0;derecha
130;300;417;310;40;322;0;derecha
128;300;414;310;40;324;0;derecha
126;300;411;310;40;326;0;derecha
